dzien srednia odchylenie
1 10.0 0.0
2 12.75 1.8497884126886437
3 16.14 3.06831312850326
4 20.83 4.163465436922042
5 25.83 5.425445101137283
6 31.75 7.11858429915966
7 39.43 9.08573640717174
8 48.43 11.312150435471919
9 58.68 14.558055148163499
10 56.91 16.339884276879626
11 65.36 19.065289206441445
12 74.03 22.66374981232266
13 83.61 26.366069027437437
14 94.62 29.56444083043279
15 105.54 33.70562402491743
16 117.61 38.645473554643196
17 130.15 44.542426716309215
18 144.39 50.35949450569065
19 161.18 56.45153101143806
20 179.32 63.14467595142208
21 200.6 70.51212375159038
22 222.53 79.28652234940454
23 246.95 87.16295837757752
24 273.73 96.13782772245231
25 303.65 106.39277098173407
26 336.08 117.51137318695082
27 369.55 130.04407760914037
28 409.08 143.65873422521832
29 446.57 155.8535478705518
30 489.95 168.3010395065637
31 535.75 182.61486630047236
32 581.85 194.4306567983308
33 634.33 205.23910938269543
34 687.37 218.5508587921536
35 746.58 232.1871058461519
36 804.3 241.64087636679588
37 868.16 251.93340149309054
38 931.43 261.97286678068957
39 994.28 267.3046943021382
40 1062.23 272.86903859218296
41 1123.82 271.59597072329944
42 1185.43 267.58026285716045
43 1240.1 261.63578277499204
44 1293.93 253.37022279261586
45 1341.51 240.94060188428935
46 1384.06 225.84932046733184
47 1421.65 207.64238755878122
48 1448.04 186.10412638785272
49 1469.96 169.63120543869826
50 1486.43 148.8404511515263
51 1494.72 130.6450260372848
52 1491.1 116.09030793291747
53 1480.41 109.08194445489413
54 1459.83 111.8640097022571
55 1433.17 122.90540462017316
56 1400.21 139.30971925457277
57 1360.87 152.61006327939654
58 1315.26 172.0399659933409
59 1262.5 189.48774646558564
60 1208.55 205.7165046928182
61 1150.98 218.76023404631835
62 1091.86 227.82547014871898
63 1031.1 235.96522171410314
64 970.96 242.23116599186355
65 908.38 245.58780363228405
66 844.56 247.12129766083646
67 784.39 242.4276584797197
68 726.09 240.1324590279038
69 670.81 235.9118006305909
70 619.16 229.55203278902965
71 567.23 220.43102198770814
72 518.9 210.38658500844375
73 473.63 201.05708797817258
74 431.86 187.55152935024594
75 395.32 177.88873380897851
76 360.26 166.77224655865916
77 326.05 156.40541563642876
78 292.95 143.90557896261578
79 264.72 133.3896911195528
80 237.85 120.90628936527997
81 214.14 111.32671183357913
82 191.88 100.86156929978912
83 171.11 91.74006923384297
84 152.24 81.52661088766222
85 136.58 72.6084253674698
86 122.93 65.96651354354654
87 110.68 58.928287182838005
88 98.76 54.02396026605495
89 88.49 48.46210536662286
90 80.1 44.87974954466568
91 71.21 39.99729662581882
92 63.46 36.766371327696454
93 56.75 33.41848971071934
94 50.8 30.337828504753574
95 44.73 26.724125596338762
96 40.03 24.013655626864818
97 35.63 21.097491353574277
98 31.35 19.338753158809737
99 28.39 18.20139577287435
100 25.45 16.553174189791388
