dzien srednia odchylenie
1 200.0 0.0
2 200.0 0.0
3 200.0 0.0
4 200.0 0.0
5 200.0 0.0
6 200.0 0.0
7 200.0 0.0
8 200.0 0.0
9 200.0 0.0
10 212.75 1.8497884126886437
11 216.14 3.0683131285032554
12 220.83 4.163465436922041
13 225.83 5.425445101137283
14 231.75 7.11858429915966
15 239.43 9.085736407171742
16 248.43 11.312150435471919
17 258.68 14.558055148163495
18 269.66 17.31071951424926
19 281.5 20.469982951145855
20 294.86 24.907513774446503
21 309.44 29.702674776674385
22 326.37 34.81252967283794
23 344.97 40.782115063970245
24 366.04 47.88789940152845
25 388.83 56.785446812515005
26 414.05 65.24133519619151
27 442.68 74.46602913375666
28 474.18 85.43665383301136
29 510.04 97.22118071592209
30 548.9 111.22853895825425
31 591.92 125.15829815062042
32 639.77 141.3328941531198
33 692.48 159.93676022955847
34 750.13 179.05485052058623
35 812.23 200.53432941201677
36 883.26 224.568705376202
37 956.61 249.0538822476499
38 1038.85 275.49571024543445
39 1127.67 303.4710328479108
40 1221.62 331.2873506291309
41 1326.81 360.6416194461861
42 1437.5 393.2103171781655
43 1558.81 427.82644680507843
44 1687.56 460.6508421612169
45 1824.77 495.3279059819307
46 1970.28 531.4950721475899
47 2121.95 564.0166086636854
48 2283.85 596.7770741764687
49 2450.63 624.3895548955204
50 2622.93 651.8064758186989
51 2798.91 679.4471474379859
52 2981.49 702.0783215539128
53 3166.28 722.4704541859944
54 3354.34 740.5411646665273
55 3543.6 752.2609154066724
56 3731.89 758.7278813110719
57 3920.59 760.7219603173626
58 4109.36 759.048946665723
59 4293.63 754.1632282526674
60 4472.59 745.3756709257962
61 4646.69 732.95910141251
62 4814.17 716.277766997517
63 4976.77 696.5778231736738
64 5132.1 674.7143877601136
65 5281.46 650.9918837645157
66 5424.62 624.2686837371787
67 5556.13 595.5476497571905
68 5681.14 567.2794729267404
69 5797.67 539.7371424399963
70 5906.03 511.18962966275774
71 6007.87 481.495264774224
72 6103.06 451.9462250124791
73 6189.84 424.66064217219497
74 6269.18 395.81983402818645
75 6340.52 371.1040443287728
76 6407.23 345.81275528408673
77 6468.48 322.3103304129564
78 6525.19 300.1099022597279
79 6575.1 279.3595670041885
80 6621.96 260.0521672606665
81 6663.47 242.73385912071757
82 6701.04 227.93902782112676
83 6735.84 214.64491325880235
84 6767.49 200.76739116085403
85 6794.53 189.00507475416705
86 6818.14 179.9365219159021
87 6839.82 170.4857812726962
88 6859.81 163.8081962281349
89 6877.61 156.85481255677882
90 6892.92 152.43244438442267
91 6906.95 147.68799866439704
92 6919.73 143.80436029691188
93 6931.11 140.28138353201598
94 6941.07 136.77883460521076
95 6950.5 133.69386861427304
96 6958.57 131.01709773533338
97 6966.1 128.52508303711372
98 6973.02 126.3035449009467
99 6978.16 125.02789345347757
100 6983.19 123.6343333537994
