dzien srednia odchylenie
1 9790.0 0.0
2 9787.357142857143 1.7368026705655182
3 9784.07142857143 2.400778262092579
4 9780.214285714286 2.7506243047595693
5 9774.92857142857 4.5651570992310155
6 9769.142857142857 5.959570749347937
7 9763.214285714286 8.359044584976587
8 9754.642857142857 10.104128195614237
9 9743.642857142857 11.991068104456515
10 9732.0 14.904826270501987
11 9720.285714285714 19.15294141470612
12 9706.357142857143 22.90988078019258
13 9692.92857142857 25.962885597934385
14 9678.357142857143 30.149900223988865
15 9661.07142857143 33.49733464876614
16 9642.57142857143 39.64790087704573
17 9620.5 46.70158949691607
18 9593.642857142857 54.86291607670486
19 9566.214285714286 63.36242343295198
20 9535.857142857143 72.67615961114193
21 9500.857142857143 81.39633061362557
22 9460.357142857143 90.19432622685578
23 9417.857142857143 105.96505747930968
24 9370.714285714286 119.72560202487928
25 9320.92857142857 137.88482612211277
26 9265.07142857143 157.73613033540164
27 9200.714285714286 178.04166693455542
28 9131.857142857143 197.90745978199666
29 9054.07142857143 216.4644096828406
30 8976.285714285714 239.8686911853838
31 8887.57142857143 263.6138534604426
32 8790.42857142857 290.3289154060944
33 8683.0 321.1524919363433
34 8570.0 350.8159719195324
35 8455.285714285714 376.71299595140243
36 8323.357142857143 410.2071910150279
37 8189.357142857143 437.2557088764594
38 8046.214285714285 467.6081822294304
39 7892.857142857143 498.4026572874675
40 7734.642857142857 527.4254751793203
41 7570.214285714285 551.3612774232139
42 7399.285714285715 568.1012137031472
43 7220.357142857143 594.0325822639771
44 7040.5 616.1316979597538
45 6851.0 629.0064204148292
46 6666.428571428572 641.8229703545404
47 6481.714285714285 651.1193236468824
48 6295.571428571428 652.5880682430432
49 6107.285714285715 652.722161244905
50 5923.285714285715 648.6693395620854
51 5735.571428571428 638.9633087197651
52 5561.571428571428 628.0887632377246
53 5392.571428571428 612.4730090487145
54 5229.785714285715 596.3578144513098
55 5069.5 578.5666306950706
56 4916.071428571428 560.6177175890227
57 4770.428571428572 535.8143642783692
58 4630.642857142857 509.33011920528554
59 4493.857142857143 484.11884382355424
60 4368.214285714285 459.0810517630979
61 4252.928571428572 432.27812704424343
62 4147.928571428572 409.95955978528013
63 4048.785714285714 381.3811294939302
64 3954.0 352.4308988461972
65 3864.0714285714284 328.81593267726186
66 3778.4285714285716 305.3126302624937
67 3705.4285714285716 281.8236530679627
68 3637.8571428571427 267.27768825205493
69 3575.6428571428573 249.78778905390783
70 3519.8571428571427 234.74007135319076
71 3470.4285714285716 221.82172824337817
72 3422.8571428571427 210.9024043860671
73 3379.3571428571427 202.84689457165135
74 3343.785714285714 196.41838335217332
75 3306.3571428571427 186.49091837771255
76 3276.1428571428573 177.63612641181246
77 3249.214285714286 169.22864758909813
78 3222.5714285714284 162.33759424573998
79 3198.3571428571427 157.268808166076
80 3176.0 149.86455423276252
81 3158.285714285714 143.9558845733536
82 3138.3571428571427 138.19974793634876
83 3123.285714285714 133.58110677753828
84 3108.285714285714 130.436797882186
85 3096.0 127.56777987226423
86 3086.5714285714284 125.40746774826835
87 3077.9285714285716 122.58526971723948
88 3071.214285714286 118.88726306329589
89 3064.5 116.06745386263044
90 3058.285714285714 114.69452979473417
91 3053.214285714286 112.77900689225986
92 3048.785714285714 110.39103821724532
93 3044.285714285714 109.27060873842488
94 3039.9285714285716 107.90270851787969
95 3035.3571428571427 107.09852196269286
96 3031.8571428571427 106.55793450791641
97 3029.5714285714284 106.33959699994114
98 3026.714285714286 105.65140690127974
99 3023.785714285714 105.2149291625543
100 3022.214285714286 105.66724153712886
