dzien srednia odchylenie
1 10.0 0.0
2 13.06 1.9479074501483478
3 16.63 3.413150444910969
4 21.5 5.153208277913436
5 27.93 7.85764120156458
6 36.11 11.247352101402768
7 47.06 15.183603596703193
8 46.7 19.335161878000527
9 57.68 24.60922057631523
10 71.26 31.3944021259919
11 86.35 39.3218717250285
12 103.51 48.501274584938855
13 123.34 59.9510271518817
14 146.28 72.1635460169286
15 173.24 87.11401098038654
16 204.94 104.42500764770013
17 241.64 122.86590538904885
18 283.32 143.54071537266688
19 331.13 164.64032760762922
20 385.71 188.29336100346129
21 446.02 213.63610049414262
22 509.69 234.786672784406
23 576.49 255.31088179636282
24 649.02 271.29800157127147
25 717.29 281.9722135103372
26 787.2 290.939578579193
27 854.98 292.8052056997083
28 920.4 290.72841295788425
29 980.07 280.55328649947506
30 1031.71 266.45648137106076
31 1080.82 251.29568804156352
32 1113.8 227.16104730816292
33 1137.02 202.32921367679631
34 1144.56 174.68732933530993
35 1141.33 153.29229062035827
36 1125.28 141.20427784174274
37 1098.22 138.4887830486752
38 1062.43 149.4522155990829
39 1015.96 166.69738625982887
40 966.01 187.498767403356
41 912.18 207.359171146554
42 853.04 225.26715542468972
43 789.44 237.24821081591645
44 726.5 242.94533200585343
45 664.48 248.02779577044888
46 602.57 243.35011378420987
47 543.57 236.1941614841313
48 488.15 225.29690287361797
49 435.75 212.53517237142069
50 387.51 200.18579728428142
51 344.85 186.80608294769905
52 305.61 172.71871773072382
53 267.32 157.63177139629997
54 234.18 143.50014113251078
55 204.4 130.63172074441368
56 178.7 118.31199124656499
57 154.46 105.95762636950012
58 133.98 95.3785631210195
59 116.8 86.04391643547818
60 100.39 76.08433584921512
61 87.36 68.78432403043028
62 75.76 61.2700793720934
63 65.92 53.94753905135033
64 56.63 47.079699242965454
65 49.06 42.28661702948084
66 42.95 37.69317249218022
67 37.0 32.65305839002255
68 31.26 27.500457296473297
69 26.34 24.382151113658804
70 22.88 21.668428832769763
71 19.24 18.75365014975469
72 16.11 16.49909394512623
73 13.41 14.255316215505026
74 11.54 12.241195557904822
75 9.95 10.617666809843328
76 8.38 9.129572328925976
77 7.29 7.888484126762368
78 6.18 6.571102946948397
79 5.19 5.778215795362592
80 4.5 5.244525765505448
81 3.75 4.468464134036629
82 3.14 3.7873260202731958
83 2.6 3.4082490543036332
84 2.15 3.2172985719404528
85 1.97 3.0861535014226744
86 1.59 2.8287663728062076
87 1.43 2.7089637960823394
88 1.24 2.527105582729503
89 0.99 2.2674463899534922
90 0.85 2.0615528128088334
91 0.63 1.801542548916222
92 0.52 1.6110727964792753
93 0.42 1.4437605218471812
94 0.37 1.3755072526236276
95 0.32 1.3324239322953988
96 0.25 1.07661084384791
97 0.2 1.0050378152592128
98 0.17 0.921735298009119
99 0.1 0.594588390010563
100 0.08 0.48575672507912443
