dzien srednia odchylenie
1 200.0 0.0
2 200.0 0.0
3 200.0 0.0
4 200.0 0.0
5 200.0 0.0
6 200.0 0.0
7 200.0 0.0
8 213.06 1.9479074501483482
9 216.63 3.413150444910969
10 221.5 5.153208277913436
11 227.93 7.8576412015645785
12 236.11 11.247352101402768
13 247.06 15.183603596703193
14 259.76 20.337118375974104
15 274.31 26.68851188557853
16 292.76 34.92940065765558
17 314.28 45.12095528754468
18 339.62 57.05141753211958
19 370.4 72.60492233640049
20 406.04 89.84992200802674
21 447.55 111.10049823052415
22 497.7 136.24002141200444
23 555.92 164.47533234347014
24 622.94 197.38404446687431
25 701.53 233.77907446254815
26 791.75 274.2895828363251
27 893.57 320.4894695633697
28 1007.39 366.42950718709017
29 1132.41 414.7199150990919
30 1271.96 462.91410988574677
31 1418.82 509.2584702240597
32 1578.95 557.5211256585309
33 1748.55 602.3685300209464
34 1927.79 643.1409556138365
35 2112.48 677.8235591757913
36 2303.67 707.1873589842163
37 2499.64 731.2865447313048
38 2692.75 746.1270151437171
39 2885.57 753.9491483401439
40 3072.35 752.7529995176558
41 3253.81 743.4536483007647
42 3428.95 728.2345522778448
43 3597.86 704.5810564090586
44 3755.18 676.1825612670117
45 3901.53 646.5066102297076
46 4038.36 608.9287583348915
47 4165.99 570.597108742281
48 4281.99 529.4588717442431
49 4387.3 490.8059440832749
50 4481.68 452.7772186152586
51 4566.01 416.2530187957387
52 4640.93 381.74242347267074
53 4709.56 349.80927906099305
54 4770.14 319.66115330032346
55 4823.05 293.47002238798433
56 4869.19 268.27551400405775
57 4910.86 245.77241751694027
58 4946.54 226.50147367237497
59 4976.88 211.2828675047035
60 5004.32 196.20376338815925
61 5027.45 183.33092973630988
62 5047.89 171.19041881761228
63 5065.32 161.67406293608948
64 5080.52 152.99570734058673
65 5093.68 146.56717562161376
66 5104.71 141.32849441401876
67 5114.81 135.97657960847602
68 5123.65 131.56734842550094
69 5131.24 128.6735058631384
70 5137.15 126.28526110246266
71 5142.74 124.24012429504603
72 5147.66 122.53008041318101
73 5151.81 121.30533268316663
74 5154.91 120.37685731808165
75 5157.58 119.59191385117082
76 5160.03 118.88424511840809
77 5161.98 118.53669934205645
78 5163.77 117.88942387943996
79 5165.22 117.47603065211975
80 5166.45 117.13105627217038
81 5167.53 116.98065582985866
82 5168.41 116.58439480098144
83 5169.27 116.36618056719911
84 5169.95 116.16023198560468
85 5170.41 115.85615384535424
86 5170.95 115.65731121015932
87 5171.28 115.53827298887813
88 5171.55 115.47953380262983
89 5171.87 115.33207697686703
90 5172.1 115.14492405379204
91 5172.38 115.0364702820349
92 5172.54 114.9432376383573
93 5172.71 114.84933432963201
94 5172.79 114.7872247669442
95 5172.86 114.75005952772382
96 5172.95 114.68880820408212
97 5173.01 114.62221610247478
98 5173.06 114.6218922449729
99 5173.13 114.58221476038041
100 5173.16 114.5881267316941
