dzien srednia odchylenie
1 9790.0 0.0
2 9786.94 1.9479074501483484
3 9783.37 3.41315044491097
4 9778.5 5.153208277913436
5 9772.07 7.857641201564578
6 9763.89 11.247352101402761
7 9752.94 15.183603596703197
8 9740.24 20.337118375974107
9 9725.69 26.688511885578542
10 9707.24 34.92940065765557
11 9685.72 45.12095528754468
12 9660.38 57.05141753211957
13 9629.6 72.60492233640048
14 9593.96 89.84992200802671
15 9552.45 111.10049823052417
16 9502.3 136.24002141200447
17 9444.08 164.47533234347014
18 9377.06 197.38404446687426
19 9298.47 233.77907446254818
20 9208.25 274.2895828363251
21 9106.43 320.4894695633697
22 8992.61 366.4295071870901
23 8867.59 414.7199150990919
24 8728.04 462.91410988574665
25 8581.18 509.2584702240597
26 8421.05 557.5211256585309
27 8251.45 602.3685300209467
28 8072.21 643.1409556138365
29 7887.52 677.8235591757912
30 7696.33 707.1873589842163
31 7500.36 731.2865447313048
32 7307.25 746.1270151437171
33 7114.43 753.949148340144
34 6927.65 752.7529995176561
35 6746.19 743.4536483007646
36 6571.05 728.2345522778448
37 6402.14 704.5810564090586
38 6244.82 676.1825612670117
39 6098.47 646.5066102297078
40 5961.64 608.9287583348914
41 5834.01 570.597108742281
42 5718.01 529.4588717442431
43 5612.7 490.8059440832749
44 5518.32 452.7772186152586
45 5433.99 416.2530187957387
46 5359.07 381.74242347267074
47 5290.44 349.80927906099305
48 5229.86 319.66115330032346
49 5176.95 293.47002238798433
50 5130.81 268.27551400405775
51 5089.14 245.77241751694027
52 5053.46 226.50147367237497
53 5023.12 211.2828675047035
54 4995.68 196.20376338815925
55 4972.55 183.33092973630988
56 4952.11 171.19041881761228
57 4934.68 161.67406293608948
58 4919.48 152.99570734058673
59 4906.32 146.56717562161376
60 4895.29 141.32849441401876
61 4885.19 135.97657960847602
62 4876.35 131.56734842550094
63 4868.76 128.6735058631384
64 4862.85 126.28526110246266
65 4857.26 124.24012429504603
66 4852.34 122.53008041318101
67 4848.19 121.30533268316663
68 4845.09 120.37685731808165
69 4842.42 119.59191385117082
70 4839.97 118.88424511840809
71 4838.02 118.53669934205645
72 4836.23 117.88942387943996
73 4834.78 117.47603065211975
74 4833.55 117.13105627217038
75 4832.47 116.98065582985866
76 4831.59 116.58439480098144
77 4830.73 116.36618056719911
78 4830.05 116.16023198560468
79 4829.59 115.85615384535424
80 4829.05 115.65731121015932
81 4828.72 115.53827298887813
82 4828.45 115.47953380262983
83 4828.13 115.33207697686703
84 4827.9 115.14492405379204
85 4827.62 115.0364702820349
86 4827.46 114.9432376383573
87 4827.29 114.84933432963201
88 4827.21 114.7872247669442
89 4827.14 114.75005952772382
90 4827.05 114.68880820408212
91 4826.99 114.62221610247478
92 4826.94 114.6218922449729
93 4826.87 114.58221476038041
94 4826.84 114.5881267316941
95 4826.82 114.59074124813915
96 4826.8 114.59352847205975
97 4826.79 114.5699288027124
98 4826.77 114.53197295202257
99 4826.77 114.53197295202257
100 4826.76 114.50844616195015
