dzien srednia odchylenie
1 10.0 0.0
2 3.06 1.9479074501483475
3 3.57 2.156760571230882
4 4.87 2.7253208503539046
5 6.43 3.7016376392241876
6 8.18 4.260174985736022
7 10.95 5.3999158242597565
8 12.7 6.453407212199198
9 14.55 7.715097359899438
10 18.45 9.615197356373928
11 21.52 11.662319536425718
12 25.34 13.788606041426249
13 30.78 16.708178605797592
14 35.64 18.6831745188287
15 41.51 22.365420188362663
16 50.15 26.879219189597467
17 58.22 30.066787609781624
18 67.02 34.49959156543478
19 78.59 37.683716977661916
20 90.22 42.197127577094335
21 101.82 48.01796381027467
22 113.82 48.38218638709871
23 125.02 50.765250980081916
24 139.55 51.115510899779274
25 146.86 49.22018556107512
26 160.13 52.128368166256344
27 169.6 50.096674217723944
28 179.24 48.00023568965704
29 184.69 41.91422096606257
30 191.19 39.16726498575878
31 195.97 35.61790918267739
32 193.11 31.280385631454838
33 192.82 29.969809724946447
34 186.78 26.905964191809016
35 181.46 28.678440147485865
36 175.14 30.30252181391556
37 168.91 32.19953415812098
38 157.32 37.820383580040726
39 146.35 37.09974951588507
40 136.83 42.3821133894186
41 127.63 43.21070177021831
42 116.0 44.61100104392877
43 105.31 42.72455708111878
44 94.38 41.419211860091096
45 84.33 40.086284462646354
46 74.92 37.1743584920161
47 68.63 35.35324053268125
48 60.58 33.68306831197376
49 52.91 29.369500774742086
50 46.14 28.927991407435915
51 41.67 26.352334916579128
52 35.68 23.48645859583214
53 30.34 19.96017246539931
54 27.44 19.351256060295185
55 23.13 16.819694444671732
56 20.44 16.2544912208437
57 17.43 13.771772477488769
58 15.2 12.616327404269326
59 13.16 10.417273921693521
60 11.03 9.485187814629072
61 10.1 9.316543339564296
62 8.84 8.63949119339837
63 7.59 6.33747073788395
64 5.91 5.547034879969294
65 5.59 5.488454364676025
66 4.92 4.652966904041012
67 4.15 4.147227380973334
68 3.1 3.57177487498523
69 2.67 3.256865320698988
70 2.45 2.6718699236468995
71 1.95 2.555939804226282
72 1.79 2.4091366490797883
73 1.45 1.822280733231592
74 1.23 1.562534848096243
75 1.08 1.5997474548165167
76 0.88 1.257542898438913
77 0.86 1.1283312071955252
78 0.68 0.9415225151129676
79 0.46 0.8810003496943781
80 0.54 0.9147500624584173
81 0.33 0.697108023163982
82 0.27 0.5835281060112278
83 0.32 0.7089613971340498
84 0.23 0.649086382011772
85 0.28 0.7258572083190241
86 0.16 0.545319848688582
87 0.17 0.5328596381218924
88 0.08 0.272659924344291
89 0.07 0.293188669562103
90 0.09 0.42864597716224256
91 0.06 0.277797979063414
92 0.05 0.2972941950052816
93 0.07 0.35547663265485707
94 0.03 0.1714466079977652
95 0.02 0.14070529413628963
96 0.02 0.14070529413628963
97 0.01 0.09999999999999996
98 0.02 0.2
99 0.0 0.0
100 0.01 0.09999999999999996
