dzien srednia odchylenie
1 10.0 0.0
2 13.4 4.247875285886398
3 36.2 31.790285028955342
4 108.4 110.65682687179012
5 300.5 260.855962809619
6 630.8 435.9222152836189
7 1072.7 562.9332010895155
8 1594.8 622.1807168696604
9 2133.8 602.3252720360763
10 2579.2 483.7188807102278
11 2853.5 285.61911311706325
12 2902.4 165.4631211008799
13 2746.0 307.74556590361027
14 2424.1 429.48430316679406
15 2015.4 478.3202553380597
16 1611.0 461.4094349562725
17 1226.6 409.3198151948072
18 900.1 323.7133334019812
19 650.3 241.66691954009758
20 460.7 169.69321992610338
21 324.8 129.4413638164658
22 225.7 93.57474730574127
23 153.0 65.52014109332251
24 105.1 45.55204593526935
25 72.8 31.898449979757814
26 51.2 25.95637365529579
27 36.1 19.58712729206495
28 23.2 13.538422688366946
29 14.5 8.695464973830388
30 10.0 7.438637868140466
31 7.3 6.23698645180507
32 5.2 5.202563470700446
33 3.4 3.806427312965386
34 2.4 2.5905812303633926
35 2.0 2.4037008503093262
36 1.7 2.0027758514399734
37 1.0 1.247219128924647
38 0.7 1.2516655570345725
39 0.4 0.966091783079296
40 0.2 0.6324555320336759
41 0.0 0.0
42 0.0 0.0
43 0.0 0.0
44 0.0 0.0
45 0.0 0.0
46 0.0 0.0
47 0.0 0.0
48 0.0 0.0
49 0.0 0.0
50 0.0 0.0
51 0.0 0.0
52 0.0 0.0
53 0.0 0.0
54 0.0 0.0
55 0.0 0.0
56 0.0 0.0
57 0.0 0.0
58 0.0 0.0
59 0.0 0.0
60 0.0 0.0
61 0.0 0.0
62 0.0 0.0
63 0.0 0.0
64 0.0 0.0
65 0.0 0.0
66 0.0 0.0
67 0.0 0.0
68 0.0 0.0
69 0.0 0.0
70 0.0 0.0
71 0.0 0.0
72 0.0 0.0
73 0.0 0.0
74 0.0 0.0
75 0.0 0.0
76 0.0 0.0
77 0.0 0.0
78 0.0 0.0
79 0.0 0.0
80 0.0 0.0
81 0.0 0.0
82 0.0 0.0
83 0.0 0.0
84 0.0 0.0
85 0.0 0.0
86 0.0 0.0
87 0.0 0.0
88 0.0 0.0
89 0.0 0.0
90 0.0 0.0
91 0.0 0.0
92 0.0 0.0
93 0.0 0.0
94 0.0 0.0
95 0.0 0.0
96 0.0 0.0
97 0.0 0.0
98 0.0 0.0
99 0.0 0.0
100 0.0 0.0
