dzien srednia odchylenie
1 10.0 0.0
2 3.4 4.247875285886398
3 22.8 28.47923219938815
4 72.2 79.82313783191772
5 192.1 153.361193121192
6 330.3 183.77162760097414
7 441.9 140.03051254796023
8 535.5 79.34908807149442
9 561.8 23.658684099783176
10 517.6 70.9964005347376
11 466.4 93.62122266523406
12 379.2 108.2946597636898
13 285.5 102.73942227250886
14 213.6 81.72066242185429
15 153.1 48.324022091617245
16 113.2 44.06258175721335
17 82.0 34.36406391695966
18 52.7 22.415520416790585
19 35.7 16.090369790654282
20 24.0 8.110350040397625
21 17.2 8.20298048814508
22 14.1 8.292566952799758
23 9.3 5.657836257007719
24 4.8 1.8737959096740262
25 3.4 2.3664319132398464
26 2.4 2.2211108331943574
27 2.1 1.8529256146249733
28 1.2 1.8135294011647258
29 0.6 0.6992058987801011
30 0.3 0.6749485577105528
31 0.7 1.0593499054713802
32 0.3 0.48304589153964794
33 0.3 0.4830458915396479
34 0.2 0.42163702135578396
35 0.2 0.6324555320336759
36 0.0 0.0
37 0.0 0.0
38 0.0 0.0
39 0.0 0.0
40 0.0 0.0
41 0.0 0.0
42 0.0 0.0
43 0.0 0.0
44 0.0 0.0
45 0.0 0.0
46 0.0 0.0
47 0.0 0.0
48 0.0 0.0
49 0.0 0.0
50 0.0 0.0
51 0.0 0.0
52 0.0 0.0
53 0.0 0.0
54 0.0 0.0
55 0.0 0.0
56 0.0 0.0
57 0.0 0.0
58 0.0 0.0
59 0.0 0.0
60 0.0 0.0
61 0.0 0.0
62 0.0 0.0
63 0.0 0.0
64 0.0 0.0
65 0.0 0.0
66 0.0 0.0
67 0.0 0.0
68 0.0 0.0
69 0.0 0.0
70 0.0 0.0
71 0.0 0.0
72 0.0 0.0
73 0.0 0.0
74 0.0 0.0
75 0.0 0.0
76 0.0 0.0
77 0.0 0.0
78 0.0 0.0
79 0.0 0.0
80 0.0 0.0
81 0.0 0.0
82 0.0 0.0
83 0.0 0.0
84 0.0 0.0
85 0.0 0.0
86 0.0 0.0
87 0.0 0.0
88 0.0 0.0
89 0.0 0.0
90 0.0 0.0
91 0.0 0.0
92 0.0 0.0
93 0.0 0.0
94 0.0 0.0
95 0.0 0.0
96 0.0 0.0
97 0.0 0.0
98 0.0 0.0
99 0.0 0.0
100 0.0 0.0
